rank,feature_name,mean_abs_prediction_change,max_abs_prediction_change,mean_error_change,max_error_increase,max_error_decrease,worst_perturbation_value,best_perturbation_value,original_value_mean,original_value_std,total_worsening_count,total_improving_count,worsening_ratio,n_perturbations
1,Humidity_lag1_x_Sunshine_causal,14.803346254520648,39.37404262162886,11.497531685110093,39.37404262162886,-8.451167314902477,0.29455782312925166,0.09455782312925165,0.19455782312925166,0.0,4,2,0.5714285714285714,7
2,Factory_Issue_x_Delivery_causal,22.56477332111613,54.09277948548015,13.754002691075844,33.53431468205281,0.0,0.03485080353741475,,0.0015174702040814283,0.0,3,0,0.42857142857142855,7
3,Production,5.5720485601699625,18.82048903832424,5.5720485601699625,18.82048903832424,0.0,0.01969174752991496,,0.0530250808632483,0.0,6,0,0.8571428571428571,7
4,Humidity_x_Sunshine_causal,5.914570473225175,16.11145991258104,3.9646723931452277,16.11145991258104,-5.908318874712677,0.29455782312925166,0.09455782312925165,0.19455782312925166,0.0,3,3,0.42857142857142855,7
5,Delivery_x_Production_causal,10.712769539072594,13.993044216913859,1.9019989090323048,13.993044216913859,-9.357014699870433,0.06818150534337769,-0.09848516132328897,0.0015148386767110395,0.0,3,3,0.42857142857142855,7
6,Humidity_weighted_to_Sunshine_lag0,10.091233686349792,14.3862325457103,3.8893770041605484,13.614595515750807,-6.172232257717042,-0.5793733797204675,-0.41270671305380086,-0.4793733797204675,0.0,3,3,0.42857142857142855,7
7,Humidity_weighted_to_Sunshine_lag1,14.382728906899567,34.0979502419782,7.213055672612427,13.539485438550855,-4.535391516577647,0.3792789607426652,0.4459456274093319,0.47927896074266524,0.0,5,1,0.7142857142857143,7
8,Temperature_lag1_x_Humidity_causal,2.66699397725204,10.173812213003202,0.8632956644182416,10.173812213003202,-5.450151635270686,0.575730388773867,0.3757303887738669,0.4757303887738669,0.0,3,2,0.42857142857142855,7
9,Rainfall_x_BDT_USD_causal,4.243001773767121,9.900337472123283,4.243001773767121,9.900337472123283,0.0,0.033333333333333326,,0.0,0.0,3,0,0.42857142857142855,7
10,Factory_Issue_x_Production_causal,6.332670014418649,9.785244169468115,-0.8493069685625544,9.785244169468115,-8.378973146811404,0.10281654352141024,-0.09718345647858977,0.0028165435214102382,0.0,3,3,0.42857142857142855,7
11,Factory_Issue_weighted_to_Production_lag0,3.4273953283846885,9.014452564897738,2.4527377007656406,9.014452564897738,-1.7056508483333346,0.1322629980966993,0.06559633143003263,0.032262998096699295,0.0,4,2,0.5714285714285714,7
12,Rainfall_weighted_to_Sunshine_lag0,1.302644112163242,8.873126911777035,1.2325350054873394,8.873126911777035,-0.12269093668282949,0.1,0.033333333333333326,0.0,0.0,1,2,0.14285714285714285,7
13,Temperature_x_Humidity_causal,2.048837981386019,7.679662636098783,2.048837981386019,7.679662636098783,0.0,0.575730388773867,,0.4757303887738669,0.0,3,0,0.42857142857142855,7
14,Delivery,3.79065767861396,5.976095340075972,3.79065767861396,5.976095340075972,0.0,-0.07143165739590651,,0.0285683426040935,0.0,6,0,0.8571428571428571,7
15,Factory_Issue,1.735339475517581,5.278559772014887,1.735339475517581,5.278559772014887,0.0,0.11978386093694235,,0.0531171942702757,0.0,3,0,0.42857142857142855,7
16,Delivery_weighted_to_Production_lag0,3.2834676224280037,5.201397784076562,1.9853401329389726,5.201397784076562,-3.9163238097905833,-0.09110256951240145,0.07556409715426521,0.00889743048759855,0.0,4,2,0.5714285714285714,7
17,Rainfall_to_Sunshine_ratio_causal,2.122326857462375,5.114702799181259,2.122326857462375,5.114702799181259,0.0,0.033333333333333326,,0.0,0.0,3,0,0.42857142857142855,7
18,Sunshine,1.292365084077866,4.882143257696271,0.8112852622596165,4.882143257696271,-1.6837793763638729,0.4714285714285714,0.27142857142857135,0.3714285714285714,0.0,2,1,0.2857142857142857,7
19,Rainfall_lag1_x_BDT_USD_causal,1.6229084545173333,3.876142808118402,1.6229084545173333,3.876142808118402,0.0,0.06666666666666665,,0.0,0.0,3,0,0.42857142857142855,7
20,Temperature_lag1_x_Sunshine_causal,0.8148271760768954,3.055607280514323,0.05820347549862553,3.055607280514323,-2.6481829520239444,0.4373360938578329,0.2373360938578329,0.3373360938578329,0.0,1,1,0.14285714285714285,7
21,Temperature_x_Sunshine_causal,1.173548965443128,2.7382809193672983,1.173548965443128,2.7382809193672983,0.0,0.37066942719116625,,0.3373360938578329,0.0,3,0,0.42857142857142855,7
22,Temperature,2.544171834184421,8.967039713440727,-0.3653206225412435,2.653675802027692,-8.967039713440727,1.0082125603864733,0.8082125603864734,0.9082125603864734,0.0,3,2,0.42857142857142855,7
23,Humidity,2.5843482389732344,4.768832281644791,-1.2948212774420946,2.214402201563189,-4.768832281644791,0.5904761904761904,0.42380952380952375,0.5238095238095237,0.0,3,3,0.42857142857142855,7
24,Factory_Issue_weighted_to_Delivery_lag0,1.5683519460978914,5.209277286586712,-0.5188990013329787,2.0307463714516416,-5.209277286586712,0.10644613783489044,0.1397794711682238,0.03977947116822379,0.0,2,4,0.2857142857142857,7
25,Temperature_weighted_to_Sunshine_lag0,2.069534271704112,4.95200570084603,-0.34795270317853727,2.026383337887637,-4.95200570084603,0.7681355347624347,0.6348022014291014,0.7348022014291014,0.0,3,2,0.42857142857142855,7
26,Temperature_weighted_to_Sunshine_lag1,0.17653700553237936,1.2038316746588862,0.1674149015130167,1.2038316746588862,-0.031927364067769304,-0.8272666315935951,-0.6272666315935952,-0.7272666315935952,0.0,1,1,0.14285714285714285,7
27,Temperature_weighted_to_Humidity_lag1,2.0771381866223755,10.24234011064118,-1.740648401130654,1.177714249221026,-10.24234011064118,1.0117500373163306,0.8117500373163307,0.9117500373163306,0.0,1,2,0.14285714285714285,7
28,Factory_Issue_weighted_to_Sales_lag1,1.0744421462962757,1.836250081934395,-0.4994864953617772,0.9794509232451674,-1.836250081934395,0.2811531375035572,0.08115313750355721,0.18115313750355722,0.0,3,3,0.42857142857142855,7
29,Production_weighted_to_Sales_lag1,0.32158526591596065,0.7503656204705749,0.32158526591596065,0.7503656204705749,0.0,2.67641297265076,,2.6430796393174267,0.0,3,0,0.42857142857142855,7
30,Factory_Issue_lag1_x_Sales_causal,0.29288128708107514,0.6833896698558419,0.29288128708107514,0.6833896698558419,0.0,0.26091145435076724,,0.3609114543507672,0.0,3,0,0.42857142857142855,7
31,Factory_Issue_to_Production_ratio_causal,0.27870459030467437,0.5995387807461157,-0.2348117245445727,0.1536250301603559,-0.5995387807461157,1.035070500076463,0.9684038334097963,1.0017371667431296,0.0,1,5,0.14285714285714285,7
32,Rainfall,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
33,Temperature_weighted_to_Sales_lag1,0.0,0.0,0.0,0.0,0.0,,,351.91144018825173,0.0,0,0,0.0,7
34,Humidity_weighted_to_Sales_lag1,0.0,0.0,0.0,0.0,0.0,,,467.0555505733494,0.0,0,0,0.0,7
35,Rainfall_weighted_to_Sales_lag1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
36,Delivery_weighted_to_Sales_lag1,0.0,0.0,0.0,0.0,0.0,,,-56.258838209863406,0.0,0,0,0.0,7
37,Rainfall_x_Sunshine_causal,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
38,BDT_USD,0.0,0.0,0.0,0.0,0.0,,,0.823439344157709,0.0,0,0,0.0,7
39,Sales_causal_weighted_sum,0.0,0.0,0.0,0.0,0.0,,,626.0767110577583,0.0,0,0,0.0,7
40,Rainfall_weighted_to_BDT_USD_lag0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
41,Rainfall_weighted_to_BDT_USD_lag1,0.09103117550096483,0.21240607616891793,-0.09103117550096483,0.0,-0.21240607616891793,,0.033333333333333326,0.0,0.0,0,3,0.0,7
42,Rainfall_weighted_to_Sunshine_lag1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
43,Temperature_weighted_to_Humidity_lag0,4.628464147488297,11.533411826678275,-4.2493059495911565,0.0,-10.206358134038283,,-0.8458131372353225,-0.9124798039019891,0.0,0,6,0.0,7
44,Sunshine_weighted_to_Sales_lag1,0.0,0.0,0.0,0.0,0.0,,,216.21455070301218,0.0,0,0,0.0,7
45,BDT_USD_weighted_to_Sales_lag1,0.0,0.0,0.0,0.0,0.0,,,-355.6702249738125,0.0,0,0,0.0,7
46,Temperature_to_Humidity_ratio_causal,0.0,0.0,0.0,0.0,0.0,,,1.7338603425559949,0.0,0,0,0.0,7
47,Rainfall_to_BDT_USD_ratio_causal,0.0709069475515532,0.16544954428695746,-0.0709069475515532,0.0,-0.16544954428695746,,0.033333333333333326,0.0,0.0,0,3,0.0,7
48,Delivery_lag1_x_Sales_causal,0.0,0.0,0.0,0.0,0.0,,,2.8294000108008093,0.0,0,0,0.0,7
49,Humidity_lag1_x_Sales_causal,0.0,0.0,0.0,0.0,0.0,,,741.7142857142856,0.0,0,0,0.0,7
50,Rainfall_lag1_x_Sales_causal,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
51,Factory_Issue_to_Delivery_ratio_causal,0.01994184328486881,0.04653096766469389,-0.01994184328486881,0.0,-0.04653096766469389,,1.7593026206100117,1.8593026206100118,0.0,0,3,0.0,7
52,Temperature_to_Sunshine_ratio_causal,0.0,0.0,0.0,0.0,0.0,,,2.445187662578967,0.0,0,0,0.0,7
53,Delivery_to_Production_ratio_causal,0.0,0.0,0.0,0.0,0.0,,,0.5387703731705995,0.0,0,0,0.0,7
54,Humidity_to_Sunshine_ratio_causal,0.29212840957338165,1.0224494335068357,-0.29212840957338165,0.0,-1.0224494335068357,,1.4769230769230768,1.4102564102564101,0.0,0,2,0.0,7
55,Production_lag1_x_Sales_causal,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
56,Temperature_lag1_x_Sales_causal,0.0,0.0,0.0,0.0,0.0,,,1286.0289855072463,0.0,0,0,0.0,7
57,BDT_USD_lag1_x_Sales_causal,0.0,0.0,0.0,0.0,0.0,,,1165.990111327316,0.0,0,0,0.0,7
58,Sunshine_lag1_x_Sales_causal,0.0,0.0,0.0,0.0,0.0,,,525.9428571428571,0.0,0,0,0.0,7
59,Rainfall_lag1_x_Sunshine_causal,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
60,dow,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
61,is_weekend,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
62,dom,0.0,0.0,0.0,0.0,0.0,,,24.0,0.0,0,0,0.0,7
63,month,0.0,0.0,0.0,0.0,0.0,,,7.0,0.0,0,0,0.0,7
64,quarter,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0,0,0.0,7
65,doy,0.0,0.0,0.0,0.0,0.0,,,205.0,0.0,0,0,0.0,7
66,iso_week,0.0,0.0,0.0,0.0,0.0,,,30.0,0.0,0,0,0.0,7
67,dow_sin,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,7
68,dow_cos,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0,0,0.0,7
69,month_sin,0.0,0.0,0.0,0.0,0.0,,,-0.4999999999999997,0.0,0,0,0.0,7
70,month_cos,0.0,0.0,0.0,0.0,0.0,,,-0.8660254037844388,0.0,0,0,0.0,7
